"filesize" "d_span" "chunk_order" "fsync_bitmap" "sync_bitmap" "number_of_chunks"
12288 12288 "0231" "0010" "0011" 4
12288 12288 "0231" "0011" "0011" 4
12288 12288 "0231" "0000" "0101" 4
12288 12288 "0231" "0001" "0101" 4
12288 12288 "0231" "0000" "0111" 4
12288 12288 "0231" "0001" "0111" 4
12288 12288 "0231" "0010" "0101" 4
12288 12288 "0231" "0011" "0101" 4
12288 12288 "0231" "0010" "0111" 4
12288 12288 "0231" "0011" "0111" 4
12288 12288 "0231" "0100" "0001" 4
12288 12288 "0231" "0101" "0001" 4
12288 12288 "0231" "0100" "0011" 4
12288 12288 "0231" "0101" "0011" 4
12288 12288 "0231" "0110" "0001" 4
12288 12288 "0231" "0111" "0001" 4
12288 12288 "0231" "0110" "0011" 4
12288 12288 "0231" "0111" "0011" 4
12288 12288 "0231" "0100" "0101" 4
12288 12288 "0231" "0101" "0101" 4
12288 12288 "0231" "0100" "0111" 4
12288 12288 "0231" "0101" "0111" 4
12288 12288 "0231" "0110" "0101" 4
12288 12288 "0231" "0111" "0101" 4
12288 12288 "0231" "0110" "0111" 4
12288 12288 "0231" "0111" "0111" 4
12288 16384 "0231" "0000" "1001" 4
12288 2105344 "0231" "0001" "1001" 4
12288 16384 "0231" "0000" "1011" 4
12288 16384 "0231" "0001" "1011" 4
12288 2105344 "0231" "0010" "1001" 4
12288 2105344 "0231" "0011" "1001" 4
12288 2105344 "0231" "0010" "1011" 4
12288 2105344 "0231" "0011" "1011" 4
12288 16384 "0231" "0000" "1101" 4
12288 16384 "0231" "0001" "1101" 4
12288 16384 "0231" "0000" "1111" 4
12288 16384 "0231" "0001" "1111" 4
12288 16384 "0231" "0010" "1101" 4
12288 16384 "0231" "0011" "1101" 4
12288 16384 "0231" "0010" "1111" 4
12288 16384 "0231" "0011" "1111" 4
12288 2105344 "0231" "0100" "1001" 4
12288 2105344 "0231" "0101" "1001" 4
12288 2105344 "0231" "0100" "1011" 4
12288 2105344 "0231" "0101" "1011" 4
12288 2105344 "0231" "0110" "1001" 4
12288 2105344 "0231" "0111" "1001" 4
